area,bbox_w,bbox_h,extent,aspect_ratio,mean_intensity,std_intensity,contrast,label
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,255.0,0.0,215.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,208.0,0.0,150.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
100.0,10.0,10.0,1.0,1.0,182.0,0.0,107.0,1
